OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
351971,232870165,10/14/2023 6:31:57 AM,10/14/2023 3:45:00 AM,10/14/2023 5:30:00 AM,Friday,6,6,601,841 N HIGHLAND AVE NE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.352449,33.777325,Virginia Highland,F,6,Part I,1,b53b3870-7e78-46c4-9698-af4e3bcec83c,-84.352449,33.7773250000001
351972,232870199,10/14/2023 6:32:29 AM,10/14/2023 5:44:00 AM,10/14/2023 5:58:00 AM,Saturday,7,5,501,1055 HOWELL MILL RD NW,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.41125,33.783184,Home Park,E,3,Part I,1,dc02d941-9188-421a-9c64-b22292143049,-84.4112499999999,33.7831840000001
351970,232841290,10/14/2023 7:05:13 AM,10/11/2023 8:04:00 PM,10/11/2023 8:30:00 PM,Wednesday,4,5,501,1371 MARKET ST NW,Department/ Discount/ Store,23C,Shoplifting,PROPERTY,N,,,Evening Watch,-84.394658,33.792096,Atlantic Station,E,3,Part I,,3f0aea56-c4eb-496b-8698-4affd282efa6,-84.3946579999999,33.7920960000001
351978,232870304,10/14/2023 7:40:11 AM,10/14/2023 6:53:00 AM,10/14/2023 7:44:00 AM,Saturday,7,4,410,2400 CAMPBELLTON RD SW,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Morning Watch,-84.465643,33.703613,Campbellton Road,R,11,Part II,1,1f89626a-7d17-4b31-8bf1-f3aa1cc2a8a9,-84.4656429999999,33.7036130000001
351979,232870158,10/14/2023 8:02:30 AM,10/14/2023 12:00:00 AM,10/14/2023 5:30:00 AM,Friday,6,6,613,1529 MONROE DR NE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.368215,33.796376,Morningside/Lenox Park,F,6,Part I,2,41f10d58-2077-408a-9002-d73f8059de90,-84.368215,33.7963760000001
351980,232870366,10/14/2023 8:11:23 AM,10/14/2023 7:50:00 AM,10/14/2023 8:11:00 AM,Saturday,7,5,510,90 COURTLAND ST NE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.384139,33.755823,Downtown,M,5,Part I,1,1541f61f-74bd-40d9-bd63-25cf453c5fd6,-84.3841389999999,33.7558230000001
351974,232870295,10/14/2023 8:30:43 AM,10/14/2023 6:50:00 AM,10/14/2023 7:57:00 AM,Saturday,7,5,506,839 FOX ST NW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.414878,33.772385,English Avenue,L,3,Part II,1,1deda45c-c3d7-4dd3-9d5a-51a4dca198a2,-84.414878,33.772385
351981,232870360,10/14/2023 8:42:50 AM,10/14/2023 7:45:00 AM,10/14/2023 7:50:00 AM,Saturday,7,4,401,1355 RALPH DAVID ABERNATHY BLVD SW,Convenience Store,13C,Intimidation,PERSON,N,,,Morning Watch,-84.432039,33.739304,West End,T,4,Part II,1,9ac4078e-ff7e-4fe8-bcc8-456875ee4a8f,-84.432039,33.7393040000001
351983,232861879,10/14/2023 9:34:47 AM,10/14/2023 1:07:00 AM,10/14/2023 2:00:00 AM,Friday,6,2,207,763 TRABERT AVE NW,Commercial/ Office Building,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.413392,33.794863,Berkeley Park,D,9,Part I,1,e341c63f-d3da-476d-8eb5-6f9c42bbe61d,-84.413392,33.7948630000001
351988,232870327,10/14/2023 10:14:57 AM,10/14/2023 6:30:00 AM,10/14/2023 10:00:00 AM,Saturday,7,2,209,3771 ROSWELL RD NE,Restaurant,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.381491,33.857588,North Buckhead,B,7,Part I,1,849b4d1b-4895-4742-9552-75c62532c466,-84.381491,33.8575880000001
351986,232870290,10/14/2023 10:35:55 AM,10/14/2023 6:33:00 AM,10/14/2023 10:40:00 AM,Saturday,7,6,611,2300 GLENWOOD AVE SE,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Morning Watch,-84.312008,33.740152,The Villages at East Lake,O,5,Part II,1,f8751f1d-f55f-4508-9e7a-f0cc6a689c81,-84.3120079999999,33.7401520000001
351985,232875004,10/14/2023 10:42:10 AM,10/10/2023 7:01:00 PM,10/13/2023 4:20:00 PM,Tuesday,3,5,510,80 JESSE HILL JR DR SE,Drug Store/ Doctor's Office/ Hospital,26C,Impersonation,PROPERTY,N,,,Evening Watch,-84.382016,33.751847,Downtown,M,5,Part II,1,98328202-caaa-4468-b863-3c30ac12fe68,-84.382016,33.7518470000001
351995,232870502,10/14/2023 11:42:20 AM,10/13/2023 10:45:00 PM,10/14/2023 10:00:00 AM,Friday,6,5,508,300 TED TURNER DR NW,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.389616,33.762622,Downtown,M,2,Part I,1,781f81f1-005b-451f-a24e-542b3a038e4d,-84.389616,33.7626220000001
351996,232870502,10/14/2023 11:42:20 AM,10/13/2023 10:45:00 PM,10/14/2023 10:00:00 AM,Friday,6,5,508,300 TED TURNER DR NW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.389616,33.762622,Downtown,M,2,Part II,1,b9b09822-d9e7-4659-a2f5-13c9a6277680,-84.389616,33.7626220000001
351989,232861777,10/14/2023 12:01:19 PM,10/14/2023 1:07:00 AM,10/14/2023 3:50:00 AM,Friday,6,1,111,3599 MARTIN L KING JR DR NW,Convenience Store,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.504326,33.759332,Adamsville,H,10,Part I,1,2322cba0-0123-489a-b6d2-ab1ffbc001ca,-84.5043259999999,33.759332
351990,232870543,10/14/2023 12:16:27 PM,10/14/2023 1:30:00 AM,10/14/2023 11:30:00 AM,Friday,6,4,414,3589 STONE RD SW,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.505459,33.678149,Ben Hill Forest,P,11,Part I,1,2592b111-7950-463c-b7f4-855815a3fe9f,-84.505459,33.6781490000001
351991,232861864,10/14/2023 12:34:45 PM,9/17/2023 3:00:00 AM,9/17/2023 3:30:00 AM,Saturday,7,5,510,181 PEACHTREE ST NE,Hotel/ Motel/ Etc.,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.387199,33.758614,Downtown,M,2,Part I,1,921b93c3-52c7-4fde-bf3b-6c4f424af565,-84.387199,33.7586140000001
351992,232878036,10/14/2023 12:34:55 PM,8/28/2023 4:00:00 PM,8/29/2023 4:00:00 PM,Monday,2,7,706,6000 N TERMINAL PKWY,Other/Unknown,23H,All Other Larceny,PROPERTY,N,,,Day Watch,-84.444368,33.640311,,,,Part I,1,3a3a2462-2f40-4faf-aa7f-957f0d725b6d,-84.4443679999999,33.6403110000001
351993,232870522,10/14/2023 12:37:04 PM,10/14/2023 4:00:00 AM,10/14/2023 4:00:00 AM,Saturday,7,3,304,572 HANK AARON DR SE,Parking/ Drop Lot/ Garage,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.387715,33.737862,Summerhill,V,1,Part II,1,e170710c-f518-49e4-8cff-8f7c804d1cc3,-84.387715,33.7378620000001
351997,232870562,10/14/2023 1:02:38 PM,10/14/2023 3:00:00 AM,10/14/2023 12:24:00 PM,Friday,6,1,112,2798 PEEK RD NW,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.478162,33.777387,Collier Heights,I,9,Part I,1,5a317c7a-b78f-44dd-8e99-7e15e801b4e1,-84.4781619999999,33.777387
351998,232870546,10/14/2023 1:15:36 PM,,,Saturday,7,4,411,3000 HEADLAND DR SW,Specialty Store,240,Motor Vehicle Theft,PROPERTY,N,,,Morning Watch,-84.486573,33.689227,Greenbriar,R,11,Part I,1,8b81841c-7f7d-4f0c-ae77-305a4705e47a,-84.486573,33.6892270000001
352000,232875009,10/14/2023 1:22:13 PM,10/12/2023 7:20:00 PM,10/12/2023 8:20:00 PM,Thursday,5,5,502,1201 PEACHTREE ST NE,Restaurant,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.382901,33.78761,Midtown,E,6,Part II,,ac8fb0fd-8f2a-4bf4-a6cf-04584cc6d5ff,-84.3829009999999,33.78761
351999,232875008,10/14/2023 1:22:28 PM,10/13/2023 6:05:00 PM,10/13/2023 6:20:00 PM,Friday,6,2,208,3440 PEACHTREE RD NE,Shopping Mall,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Evening Watch,-84.362411,33.851937,North Buckhead,B,7,Part II,1,d63e20d9-fe4b-46e6-96ab-74e9366db2d0,-84.362411,33.8519370000001
